Date,U.S. Natural Gas Wellhead Price (Dollars per Thousand Cubic Feet),Price of U.S. Natural Gas Imports (Dollars per Thousand Cubic Feet),U.S. Natural Gas Pipeline Imports Price (Dollars per Thousand Cubic Feet),Price of U.S. Natural Gas LNG Imports (Dollars per Thousand Cubic Feet),Price of U.S. Natural Gas Exports (Dollars per Thousand Cubic Feet),Price of U.S. Natural Gas Pipeline Exports (Dollars per Thousand Cubic Feet),Price of Liquefied U.S. Natural Gas Exports (Dollars per Thousand Cubic Feet),U.S. Natural Gas Citygate Price (Dollars per Thousand Cubic Feet),U.S. Price of Natural Gas Delivered to Residential Consumers (Dollars per Thousand Cubic Feet),U.S. Natural Gas % of Total Residential - Sales (%),U.S. Price of Natural Gas Sold to Commercial Consumers (Dollars per Thousand Cubic Feet),Percent of Commercial Natural Gas Deliveries in U.S. Total Represented by the Price (%),United States Natural Gas Industrial Price (Dollars per Thousand Cubic Feet),Percent of Industrial Natural Gas Deliveries in U.S. Total Represented by the Price (%),U.S. Natural Gas Electric Power Price (Dollars per Thousand Cubic Feet)
01/01/1973,,,,,,,,,,,,,,,
01/02/1973,,,,,,,,,,,,,,,
01/03/1973,,,,,,,,,,,,,,,
01/04/1973,,,,,,,,,,,,,,,
01/05/1973,,,,,,,,,,,,,,,
01/06/1973,,,,,,,,,,,,,,,
01/07/1973,,,,,,,,,,,,,,,
01/08/1973,,,,,,,,,,,,,,,
01/09/1973,,,,,,,,,,,,,,,
01/10/1973,,,,,,,,,,,,,,,
01/11/1973,,,,,,,,,,,,,,,
01/12/1973,,,,,,,,,,,,,,,
01/01/1974,,,,,,,,,,,,,,,
01/02/1974,,,,,,,,,,,,,,,
01/03/1974,,,,,,,,,,,,,,,
01/04/1974,,,,,,,,,,,,,,,
01/05/1974,,,,,,,,,,,,,,,
01/06/1974,,,,,,,,,,,,,,,
01/07/1974,,,,,,,,,,,,,,,
01/08/1974,,,,,,,,,,,,,,,
01/09/1974,,,,,,,,,,,,,,,
01/10/1974,,,,,,,,,,,,,,,
01/11/1974,,,,,,,,,,,,,,,
01/12/1974,,,,,,,,,,,,,,,
01/01/1975,,,,,,,,,,,,,,,
01/02/1975,,,,,,,,,,,,,,,
01/03/1975,,,,,,,,,,,,,,,
01/04/1975,,,,,,,,,,,,,,,
01/05/1975,,,,,,,,,,,,,,,
01/06/1975,,,,,,,,,,,,,,,
01/07/1975,,,,,,,,,,,,,,,
01/08/1975,,,,,,,,,,,,,,,
01/09/1975,,,,,,,,,,,,,,,
01/10/1975,,,,,,,,,,,,,,,
01/11/1975,,,,,,,,,,,,,,,
01/12/1975,,,,,,,,,,,,,,,
01/01/1976,0.54,,,,,,,,,,,,,,
01/02/1976,0.54,,,,,,,,,,,,,,
01/03/1976,0.54,,,,,,,,,,,,,,
01/04/1976,0.55,,,,,,,,,,,,,,
01/05/1976,0.55,,,,,,,,,,,,,,
01/06/1976,0.58,,,,,,,,,,,,,,
01/07/1976,0.58,,,,,,,,,,,,,,
01/08/1976,0.6,,,,,,,,,,,,,,
01/09/1976,0.6,,,,,,,,,,,,,,
01/10/1976,0.62,,,,,,,,,,,,,,
01/11/1976,0.63,,,,,,,,,,,,,,
01/12/1976,0.64,,,,,,,,,,,,,,
01/01/1977,0.67,,,,,,,,,,,,,,
01/02/1977,0.71,,,,,,,,,,,,,,
01/03/1977,0.75,,,,,,,,,,,,,,
01/04/1977,0.77,,,,,,,,,,,,,,
01/05/1977,0.77,,,,,,,,,,,,,,
01/06/1977,0.82,,,,,,,,,,,,,,
01/07/1977,0.83,,,,,,,,,,,,,,
01/08/1977,0.82,,,,,,,,,,,,,,
01/09/1977,0.83,,,,,,,,,,,,,,
01/10/1977,0.84,,,,,,,,,,,,,,
01/11/1977,0.83,,,,,,,,,,,,,,
01/12/1977,0.84,,,,,,,,,,,,,,
01/01/1978,0.87,,,,,,,,,,,,,,
01/02/1978,0.88,,,,,,,,,,,,,,
01/03/1978,0.89,,,,,,,,,,,,,,
01/04/1978,0.88,,,,,,,,,,,,,,
01/05/1978,0.91,,,,,,,,,,,,,,
01/06/1978,0.91,,,,,,,,,,,,,,
01/07/1978,0.89,,,,,,,,,,,,,,
01/08/1978,0.91,,,,,,,,,,,,,,
01/09/1978,0.92,,,,,,,,,,,,,,
01/10/1978,0.92,,,,,,,,,,,,,,
01/11/1978,0.93,,,,,,,,,,,,,,
01/12/1978,0.96,,,,,,,,,,,,,,
01/01/1979,1.02,,,,,,,,,,,,,,
01/02/1979,1.05,,,,,,,,,,,,,,
01/03/1979,1.1,,,,,,,,,,,,,,
01/04/1979,1.11,,,,,,,,,,,,,,
01/05/1979,1.15,,,,,,,,,,,,,,
01/06/1979,1.17,,,,,,,,,,,,,,
01/07/1979,1.2,,,,,,,,,,,,,,
01/08/1979,1.24,,,,,,,,,,,,,,
01/09/1979,1.24,,,,,,,,,,,,,,
01/10/1979,1.28,,,,,,,,,,,,,,
01/11/1979,1.29,,,,,,,,,,,,,,
01/12/1979,1.31,,,,,,,,,,,,,,
01/01/1980,1.37,,,,,,,,,,,,,,
01/02/1980,1.42,,,,,,,,,,,,,,
01/03/1980,1.46,,,,,,,,,,,,,,
01/04/1980,1.51,,,,,,,,,,,,,,
01/05/1980,1.56,,,,,,,,,,,,,,
01/06/1980,1.57,,,,,,,,,,,,,,
01/07/1980,1.64,,,,,,,,,,,,,,
01/08/1980,1.64,,,,,,,,,,,,,,
01/09/1980,1.69,,,,,,,,,,,,,,
01/10/1980,1.71,,,,,,,,,,,,,,
01/11/1980,1.76,,,,,,,,,,,,,,
01/12/1980,1.74,,,,,,,,,,,,,,
01/01/1981,1.77,,,,,,,,3.94,,,,,,
01/02/1981,1.81,,,,,,,,3.99,,,,,,
01/03/1981,1.86,,,,,,,,4.06,,,,,,
01/04/1981,1.93,,,,,,,,4.11,,,,,,
01/05/1981,1.95,,,,,,,,4.29,,,,,,
01/06/1981,1.95,,,,,,,,4.3,,,,,,
01/07/1981,2.01,,,,,,,,4.32,,,,,,
01/08/1981,2.02,,,,,,,,4.3,,,,,,
01/09/1981,2.08,,,,,,,,4.47,,,,,,
01/10/1981,2.11,,,,,,,,4.5,,,,,,
01/11/1981,2.15,,,,,,,,4.53,,,,,,
01/12/1981,2.16,,,,,,,,4.55,,,,,,
01/01/1982,2.23,,,,,,,,4.65,,,,,,
01/02/1982,2.3,,,,,,,,4.69,,,,,,
01/03/1982,2.35,,,,,,,,4.78,,,,,,
01/04/1982,2.4,,,,,,,,4.86,,,,,,
01/05/1982,2.45,,,,,,,,5.17,,,,,,
01/06/1982,2.45,,,,,,,,5.2,,,,,,
01/07/1982,2.47,,,,,,,,5.23,,,,,,
01/08/1982,2.53,,,,,,,,5.23,,,,,,
01/09/1982,2.56,,,,,,,,5.41,,,,,,
01/10/1982,2.6,,,,,,,,5.66,,,,,,
01/11/1982,2.62,,,,,,,,5.68,,,,,,
01/12/1982,2.62,,,,,,,,5.74,,,,,,
01/01/1983,2.66,,,,,,,,5.86,,,,,,
01/02/1983,2.66,,,,,,,,5.87,,,,,,
01/03/1983,2.58,,,,,,,,6,,,,,,
01/04/1983,2.53,,,,,,,,6.06,,,,,,
01/05/1983,2.53,,,,,,,,6.22,,,,,,
01/06/1983,2.59,,,,,,,,6.2,,,,,,
01/07/1983,2.52,,,,,,,,6.21,,,,,,
01/08/1983,2.58,,,,,,,,6.18,,,,,,
01/09/1983,2.67,,,,,,,,6.19,,,,,,
01/10/1983,2.58,,,,,,,3.97,6.7,,5.62,,,,
01/11/1983,2.6,,,,,,,3.91,6.3,,5.67,,,,
01/12/1983,2.61,,,,,,,3.88,5.94,,5.62,,,,
01/01/1984,2.67,,,,,,,3.94,5.78,,5.49,,,,
01/02/1984,2.71,,,,,,,4.02,5.84,,5.54,,,,
01/03/1984,2.67,,,,,,,3.91,5.92,,5.57,,,,
01/04/1984,2.64,,,,,,,3.96,5.96,,5.52,,,,
01/05/1984,2.67,,,,,,,3.98,6.27,,5.6,,,,
01/06/1984,2.7,,,,,,,4.02,6.76,,5.67,,,,
01/07/1984,2.68,,,,,,,4.06,7.11,,5.6,,,,
01/08/1984,2.69,,,,,,,3.69,7.23,,5.47,,,,
01/09/1984,2.62,,,,,,,4.02,7.17,,5.53,,,,
01/10/1984,2.63,,,,,,,3.99,6.8,,5.54,,,,
01/11/1984,2.61,,,,,,,3.92,6.31,,5.56,,,,
01/12/1984,2.57,,,,,,,3.97,6.05,,5.6,,,,
01/01/1985,2.64,,,,,,,3.89,5.97,,5.62,,,,
01/02/1985,2.71,,,,,,,3.94,5.86,,5.53,,,,
01/03/1985,2.62,,,,,,,3.97,5.99,,5.59,,,,
01/04/1985,2.64,,,,,,,3.91,6.11,,5.65,,,,
01/05/1985,2.53,,,,,,,3.89,6.59,,5.59,,,,
01/06/1985,2.58,,,,,,,3.86,6.96,,5.65,,,,
01/07/1985,2.51,,,,,,,3.69,7.07,,5.44,,,,
01/08/1985,2.47,,,,,,,3.7,7.21,,5.42,,,,
01/09/1985,2.42,,,,,,,3.68,7.06,,5.37,,,,
01/10/1985,2.37,,,,,,,3.59,6.5,,5.3,,,,
01/11/1985,2.36,,,,,,,3.46,6.13,,5.39,,,,
01/12/1985,2.28,,,,,,,3.45,5.7,,5.25,,,,
01/01/1986,2.28,,,,,,,3.52,5.63,,5.25,,,,
01/02/1986,2.26,,,,,,,3.52,5.67,,5.28,,,,
01/03/1986,2.16,,,,,,,3.5,5.71,,5.25,,,,
01/04/1986,2.1,,,,,,,3.33,5.89,,5.23,,,,
01/05/1986,1.96,,,,,,,3.15,6.18,,5.19,,,,
01/06/1986,1.85,,,,,,,3.11,6.67,,5.09,,,,
01/07/1986,1.8,,,,,,,3.08,6.84,,5.02,,,,
01/08/1986,1.77,,,,,,,3.04,6.94,,4.9,,,,
01/09/1986,1.78,,,,,,,3.02,6.83,,4.93,,,,
01/10/1986,1.73,,,,,,,2.94,6.38,,4.88,,,,
01/11/1986,1.77,,,,,,,2.9,5.66,,4.74,,,,
01/12/1986,1.76,,,,,,,2.99,5.28,,4.73,,,,
01/01/1987,1.74,,,,,,,2.98,5.3,,4.8,,,,
01/02/1987,1.73,,,,,,,3.03,5.34,,4.79,,,,
01/03/1987,1.73,,,,,,,2.91,5.36,,4.8,,,,
01/04/1987,1.69,,,,,,,2.86,5.46,,4.9,,,,
01/05/1987,1.65,,,,,,,2.81,5.98,,4.88,,,,
