Date,Type,Million Standard Cubic Metres,Terajoules,1000 Metric Tons
01/01/2009,Production,0,0,0
01/01/2009,Receipts from Other Sources,0,0,0
01/01/2009,Imports,0,0,0
01/01/2009,LNG,0,0,0
01/01/2009,Pipeline,0,0,0
01/01/2009,Exports,0,0,0
01/01/2009,LNG,0,0,0
01/01/2009,Pipeline,0,0,0
01/01/2009,Stock Change,0,0,0
01/01/2009,Gross Inland Deliveries (Calculated),0,0,0
01/01/2009,Statistical Difference (Calculated),0,0,0
01/01/2009,Gross Inland Deliveries (Observed),0,0,0
01/01/2009,of which: Electricity and Heat Generation,0,0,0
01/01/2009,Closing Stocks,0,0,0
01/02/2009,Production,0,0,0
01/02/2009,Receipts from Other Sources,0,0,0
01/02/2009,Imports,0,0,0
01/02/2009,LNG,0,0,0
01/02/2009,Pipeline,0,0,0
01/02/2009,Exports,0,0,0
01/02/2009,LNG,0,0,0
01/02/2009,Pipeline,0,0,0
01/02/2009,Stock Change,0,0,0
01/02/2009,Gross Inland Deliveries (Calculated),0,0,0
01/02/2009,Statistical Difference (Calculated),0,0,0
01/02/2009,Gross Inland Deliveries (Observed),0,0,0
01/02/2009,of which: Electricity and Heat Generation,0,0,0
01/02/2009,Closing Stocks,0,0,0
01/03/2009,Production,0,0,0
01/03/2009,Receipts from Other Sources,0,0,0
01/03/2009,Imports,0,0,0
01/03/2009,LNG,0,0,0
01/03/2009,Pipeline,0,0,0
01/03/2009,Exports,0,0,0
01/03/2009,LNG,0,0,0
01/03/2009,Pipeline,0,0,0
01/03/2009,Stock Change,0,0,0
01/03/2009,Gross Inland Deliveries (Calculated),0,0,0
01/03/2009,Statistical Difference (Calculated),0,0,0
01/03/2009,Gross Inland Deliveries (Observed),0,0,0
01/03/2009,of which: Electricity and Heat Generation,0,0,0
01/03/2009,Closing Stocks,0,0,0
01/04/2009,Production,0,0,0
01/04/2009,Receipts from Other Sources,0,0,0
01/04/2009,Imports,0,0,0
01/04/2009,LNG,0,0,0
01/04/2009,Pipeline,0,0,0
01/04/2009,Exports,0,0,0
01/04/2009,LNG,0,0,0
01/04/2009,Pipeline,0,0,0
01/04/2009,Stock Change,0,0,0
01/04/2009,Gross Inland Deliveries (Calculated),0,0,0
01/04/2009,Statistical Difference (Calculated),0,0,0
01/04/2009,Gross Inland Deliveries (Observed),0,0,0
01/04/2009,of which: Electricity and Heat Generation,0,0,0
01/04/2009,Closing Stocks,0,0,0
01/05/2009,Production,0,0,0
01/05/2009,Receipts from Other Sources,0,0,0
01/05/2009,Imports,0,0,0
01/05/2009,LNG,0,0,0
01/05/2009,Pipeline,0,0,0
01/05/2009,Exports,0,0,0
01/05/2009,LNG,0,0,0
01/05/2009,Pipeline,0,0,0
01/05/2009,Stock Change,0,0,0
01/05/2009,Gross Inland Deliveries (Calculated),0,0,0
01/05/2009,Statistical Difference (Calculated),0,0,0
01/05/2009,Gross Inland Deliveries (Observed),0,0,0
01/05/2009,of which: Electricity and Heat Generation,0,0,0
