"Status","Gas Day Start","Gas in storage (TWh)","Full (%)","Trend (%)","Injection (GWh/d)","Withdrawal (GWh/d)","Working gas volume (TWh)","Injection capacity (GWh/d)","Withdrawal capacity (GWh/d)"
"E","2023-04-12","631.8879","56.06","0.08","1694.2","796.4","1127.163","11922.08","19947.95"
"E","2023-04-11","630.981","55.98","0.13","1937.45","417","1127.163","11928.7","19975.66"
"E","2023-04-10","629.4314","55.84","0.21","2673.31","309.3","1127.163","11928.78","20067.97"
"E","2023-04-09","627.0612","55.63","0.19","2497.44","395.5","1127.163","11928.85","20067.78"
"E","2023-04-08","624.9725","55.45","0.11","1942.97","665.3","1127.163","11928.91","20067.63"
"E","2023-04-07","623.7163","55.34","0.03","1321.98","1033.9","1127.163","11928.96","20067.48"
"E","2023-04-06","623.4111","55.41","-0.08","683.54","1546.3","1125.163","11928.96","20067.48"
"E","2023-04-05","624.2786","55.48","-0.12","777.81","2081.5","1125.163","11919.94","20035.4"
"E","2023-04-04","625.6138","55.61","-0.13","736.17","2177.7","1125.016","11927.25","20034.66"
"E","2023-04-03","627.0135","55.73","-0.07","777.85","1563","1125.016","11927.25","20034.65"
"E","2023-04-02","629.1174","55.92","0.05","1319.09","777.9","1125.127","11909.34","20059.43"
"E","2023-04-01","627.0117","55.72","0.15","2106.1","434.5","1125.2833","11910.7","20061.17"
"E","2023-03-31","626.2583","55.72","0.11","2113.23","839.1","1124.0174","11842.84","20069.49"
"E","2023-03-30","625.1482","55.64","0.04","1418.5","958.9","1123.6367","11842.91","20069.3"
"E","2023-03-29","624.7103","55.6","-0.08","679.85","1602.8","1123.6367","11833.94","20037.1"
"E","2023-03-28","625.5632","55.68","-0.2","469.18","2768.6","1123.5352","11826.08","20061.62"
"E","2023-03-27","627.9754","55.89","-0.13","613.26","2092.2","1123.6367","11831.78","20070.14"
"E","2023-03-26","629.4061","56.02","0.05","1360.15","831.3","1123.6367","11828.66","20065.51"
"E","2023-03-25","628.848","56.04","0.14","2161.02","639.3","1122.1831","11709.31","19867.71"
"C","2023-03-24","627.2369","55.82","0.12","2087.1","755.9","1123.6367","11831.4","20067.32"
"E","2023-03-23","625.7428","55.69","0.05","1647.53","1052.7","1123.6367","11819.99","20022.67"
"E","2023-03-22","625.0351","55.63","0.02","1438.37","1164.2","1123.6367","11812.1","19993.83"
"E","2023-03-21","624.7117","55.6","-0.04","797.58","1273","1123.6367","11833.16","20068.64"
"E","2023-03-20","625.2269","55.64","-0.11","491.44","1757.6","1123.6367","11833.25","20087.89"
"E","2023-03-19","626.5546","55.76","0.03","1315.58","1014.4","1123.6367","11833.4","20087.5"
"E","2023-03-18","626.2616","55.74","0.04","1491.32","1025.8","1123.6367","11833.61","20086.94"
"E","2023-03-17","625.6998","55.69","-0.09","810.16","1802.4","1123.6367","11833.71","20086.69"
"E","2023-03-16","626.7124","55.78","-0.2","406.05","2614.9","1123.6367","11820.69","20040.32"
"E","2023-03-15","628.9374","55.97","-0.26","331.23","3216.8","1123.6367","11812.67","20011.81"
"E","2023-03-14","631.8152","56.23","-0.16","371.55","2175.2","1123.6367","11833.68","20086.77"
"E","2023-03-13","633.6686","56.39","-0.09","846.51","1901.1","1123.6367","11833.94","20086.07"
"E","2023-03-12","634.7459","56.49","-0.14","502.27","2130.1","1123.6367","11833.96","20086.03"
"E","2023-03-11","636.4285","56.64","-0.23","227.09","2777.3","1123.6367","11833.87","20086.26"
"E","2023-03-10","639.0309","56.87","-0.29","231.81","3452.4","1123.6367","11833.8","20104.65"
"E","2023-03-09","642.3284","57.17","-0.36","267.52","4356.5","1123.6367","11833.37","20067.58"
"E","2023-03-08","646.5126","57.54","-0.5","147.71","5796.8","1123.6367","11823.8","20036.96"
"E","2023-03-07","652.1835","58.04","-0.51","101","5847.1","1123.6367","11832.28","20070.46"
"E","2023-03-06","657.8871","58.55","-0.52","86.03","5906.8","1123.6367","11831.82","20071.66"
"E","2023-03-05","662.4381","58.95","-0.34","187.41","3997.2","1123.6367","11831.57","20072.33"
"E","2023-03-04","668.6349","59.51","-0.3","260.13","3618.9","1123.6367","11831.38","20072.82"
"E","2023-03-03","670.8684","59.71","-0.45","260.7","5301","1123.6367","11830.99","20073.86"
"E","2023-03-02","675.8472","60.15","-0.46","182.19","5407","1123.6359","11830.43","20075.16"
"E","2023-03-01","681.189","60.62","-0.51","180.18","5895.7","1123.6367","11816.26","20038.64"
"E","2023-02-28","685.9413","61.05","-0.52","233.26","6097.9","1123.5352","11855.64","20092.97"
"E","2023-02-27","691.8847","61.58","-0.54","185.29","6208.6","1123.6367","11860.94","20102.54"
"E","2023-02-26","698.1651","62.19","-0.29","367.28","3568.5","1122.669","11851.36","20088.31"
"E","2023-02-25","700.8571","62.43","-0.22","491.75","2964.6","1122.669","11849.34","20087.21"
"E","2023-02-24","703.5801","62.67","-0.28","436.16","3528.5","1122.669","11850.7","20090.05"
"E","2023-02-23","706.6576","62.94","-0.27","429.87","3503.2","1122.669","11850.45","20090.69"
"E","2023-02-22","709.7362","63.22","-0.29","350.39","3616.9","1122.6689","11841.17","20059.29"
"E","2023-02-21","713.0015","63.51","-0.3","415.09","3793.8","1122.6689","11850.13","20091.52"
"E","2023-02-20","716.377","63.81","-0.24","541.95","3243.1","1122.6689","11850.16","20115.64"
"E","2023-02-19","719.0629","64.05","-0.12","888.15","2237.3","1122.6689","11850.21","20115.52"
"E","2023-02-18","720.4878","64.18","-0.1","1159","2262.9","1122.6689","11850.32","20115.23"
"E","2023-02-17","721.6986","64.28","-0.24","609.96","3345.4","1122.6689","11850.41","20114.99"
"E","2023-02-16","724.5043","64.53","-0.34","226.11","3994.1","1122.6689","11850.29","20115.3"
"E","2023-02-15","728.3575","64.88","-0.41","159.73","4784.8","1122.6689","11841.23","20083.32"
"E","2023-02-14","733.0343","65.29","-0.44","123.78","5072.1","1122.6689","11849.7","20116.87"
"E","2023-02-13","737.997","65.74","-0.45","208.72","5299","1122.6689","11849.21","20118.15"
"E","2023-02-12","743.0971","66.19","-0.34","298.29","4160.8","1122.6689","11848.89","20118.99"
"E","2023-02-11","747.1327","66.55","-0.43","192.14","4968.4","1122.6689","11848.53","20119.96"
"E","2023-02-10","751.9384","66.98","-0.58","214.36","6749","1122.6689","11848.18","20128.86"
"E","2023-02-09","758.5089","67.56","-0.67","175.01","7704.1","1122.6689","11847.83","20129.79"
"E","2023-02-08","766.0787","68.24","-0.65","159.5","7496.5","1122.6689","11838.45","20098.67"
"E","2023-02-07","773.4408","68.89","-0.66","178.53","7585.7","1122.6689","11847.06","20131.81"
"E","2023-02-06","780.7293","69.54","-0.63","138.29","7200.2","1122.6689","11846.71","20132.75"
"E","2023-02-05","786.7178","70.2","-0.34","303.09","4157.5","1120.6695","11792.53","20038.73"
"E","2023-02-04","791.5449","70.51","-0.31","339.81","3802.5","1122.6689","11846.31","20131.81"
"E","2023-02-03","795.0285","70.82","-0.37","227.04","4431.9","1122.6689","11846.01","20056.5"
"E","2023-02-02","799.3368","71.2","-0.45","229.89","5329.3","1122.6689","11845.61","20054.54"
"E","2023-02-01","804.381","71.65","-0.46","223.65","5392.3","1122.6689","11835.97","20023.04"
"E","2023-01-31","809.6705","72.12","-0.53","200.38","6161.5","1122.6689","11844.87","20093.09"
"E","2023-01-30","813.4324","72.6","-0.58","120.15","6576","1120.3689","11824.85","20020.01"
"E","2023-01-29","819.8951","73.18","-0.51","265.02","5939.6","1120.3689","11824.55","20020.82"
"E","2023-01-28","825.787","73.71","-0.58","209.89","6661.4","1120.3689","11824.14","20021.9"
"E","2023-01-27","832.2822","74.29","-0.7","174.53","8016.6","1120.3689","11810.77","19976.47"
"E","2023-01-26","840.1437","74.99","-0.69","197.52","7967","1120.3689","11799.43","19938.1"
"E","2023-01-25","847.3422","75.63","-0.69","175.54","7884.4","1120.3689","11799.07","19939.03"
