Date,Year,Month,Flow,Terminal,Volume (10^3 m3),Volume (MCF)
07/01/2009,2009,July,Imports,Canaport,160699.5,5672846.924
07/01/2009,2009,July,Imports,Total,160699.5,5672846.924
08/01/2009,2009,August,Exports,Brunswick,137935.71,4869263.241
08/01/2009,2009,August,Exports,St Stephen,30898.31,1090740.063
08/01/2009,2009,August,Exports,Total,168834.02,5960003.304
08/01/2009,2009,August,Imports,Canaport,160357.6,5660777.525
08/01/2009,2009,August,Imports,St Stephen,31867.38,1124949.167
08/01/2009,2009,August,Imports,Total,192224.98,6785726.691
09/01/2009,2009,September,Imports,Canaport,163947.2,5787493.858
09/01/2009,2009,September,Imports,Total,163947.2,5787493.858
10/01/2009,2009,October,Imports,Canaport,160913.5,5680401.33
10/01/2009,2009,October,Imports,Total,160913.5,5680401.33
11/01/2009,2009,November,Imports,Canaport,82209.6,2902077.956
11/01/2009,2009,November,Imports,Total,82209.6,2902077.956
12/01/2009,2009,December,Imports,Canaport,289530.11,10220691.38
12/01/2009,2009,December,Imports,Total,289530.11,10220691.38
01/01/2010,2010,January,Imports,Canaport,448067.84,15817225.74
01/01/2010,2010,January,Imports,Total,448067.84,15817225.74
02/01/2010,2010,February,Imports,Canaport,205489.98,7253993.951
02/01/2010,2010,February,Imports,Total,205489.98,7253993.951
03/01/2010,2010,March,Imports,Canaport,160356.4,5660735.164
03/01/2010,2010,March,Imports,Total,160356.4,5660735.164
04/01/2010,2010,April,Imports,Canaport,161343.4,5695577.213
04/01/2010,2010,April,Imports,Total,161343.4,5695577.213
05/01/2010,2010,May,Imports,Canaport,165289.7,5834885.399
05/01/2010,2010,May,Imports,Total,165289.7,5834885.399
06/01/2010,2010,June,Imports,Canaport,139368.9,4919856.226
06/01/2010,2010,June,Imports,Total,139368.9,4919856.226
07/01/2010,2010,July,Imports,Canaport,81578,2879781.868
07/01/2010,2010,July,Imports,Total,81578,2879781.868
08/01/2010,2010,August,Imports,Canaport,160888.9,5679532.926
08/01/2010,2010,August,Imports,Total,160888.9,5679532.926
09/01/2010,2010,September,Imports,Canaport,172518.7,6090076.052
09/01/2010,2010,September,Imports,Total,172518.7,6090076.052
10/01/2010,2010,October,Imports,Canaport,160894,5679712.961
10/01/2010,2010,October,Imports,Total,160894,5679712.961
11/01/2010,2010,November,Imports,Canaport,80952.9,2857715.237
11/01/2010,2010,November,Imports,Total,80952.9,2857715.237
12/01/2010,2010,December,Imports,Canaport,239627.6,8459084.773
12/01/2010,2010,December,Imports,Total,239627.6,8459084.773
