Date,Flow,Port,Region,Volume (10^3 m3),Volume (MCF),Value (CN$),Value (US$),Price (CN$/GJ),Price (US$/MMBTU),Price (US$/kCF)
01/01/1985,Exports,Aden,MidWest,26265.9,927211.5347,3726834,2815167.57,3.89,3.1,3.2147
01/01/1985,Exports,Cardston,MidWest,0.4,14.12038475,0,0,0,0,0
01/01/1985,Exports,Cornwall,East,31849.5,1124317.985,5734681,4331850.57,4.79,3.82,3.96134
01/01/1985,Exports,Emerson,MidWest,415051,14651699.53,68498640,51742350.22,4.39,3.5,3.6295
01/01/1985,Exports,Fort Frances,East,11125.9,392754.9718,1996382,1508022.59,4.78,3.81,3.95097
01/01/1985,Exports,Huntingdon,West,441202,15574854.98,0,0,0,0,0
01/01/1985,Exports,Kingsgate,West,1203424.5,42482042.4,177162973,133824972.2,3.88,3.09,3.20433
01/01/1985,Exports,Monchy,MidWest,616157.6,21750955.95,0,0,0,0,0
01/01/1985,Exports,Niagara Falls,East,96414.2,3403513.999,0,0,0,0,0
01/01/1985,Exports,Ojibway (Windsor),MidWest,1557.5,54981.24813,322752,243799.69,5.43,4.33,4.49021
01/01/1985,Exports,Philipsburg,East,22520.8,795005.9023,4199295,3172054.11,4.96,3.96,4.10652
01/01/1985,Exports,Reagan Field,MidWest,244.9,8645.205565,44094,33307.63,3.89,3.1,3.2147
01/01/1985,Exports,Sprague,MidWest,1574.3,55574.30429,321016,242488.35,5.43,4.33,4.49021
01/01/1985,Exports,Total,Total,2867388.5,101221572.1,424366543,320557054.7,3.9,3.11,3.22507
01/01/1985,Imports,Coutts,MidWest,832.2,29377.46048,0,0,0,0,0
01/01/1985,Imports,Total,Total,832.2,29377.46048,126335,95430.65,4.05,3.23,3.34951
02/01/1985,Exports,Aden,MidWest,23179.2,818248.0556,3354066,2478993.64,3.98,3.1,3.2147
02/01/1985,Exports,Cardston,MidWest,0.4,14.12038475,0,0,0,0,0
02/01/1985,Exports,Cornwall,East,25841,912212.156,4889715,3613993.4,5.02,3.91,4.05467
02/01/1985,Exports,Emerson,MidWest,517526.4,18269179.72,86634857,64031912.17,4.44,3.46,3.58802
02/01/1985,Exports,Fort Frances,East,9184,324204.0339,1516479,1120831.19,4.38,3.42,3.54654
02/01/1985,Exports,Huntingdon,West,370502,13079076.98,0,0,0,0,0
02/01/1985,Exports,Kingsgate,West,934797.2,32999240.32,144308796,106658780,4.06,3.16,3.27692
02/01/1985,Exports,Monchy,MidWest,683010.6,24110931.15,0,0,0,0,0
02/01/1985,Exports,Niagara Falls,East,83956.8,2963755.796,0,0,0,0,0
02/01/1985,Exports,Ojibway (Windsor),MidWest,1537.8,54285.81918,326054,240986.85,5.55,4.33,4.49021
02/01/1985,Exports,Philipsburg,East,17900.5,631904.8681,3423460,2530282.82,5.07,3.96,4.10652
02/01/1985,Exports,Reagan Field,MidWest,114,4024.309654,20979,15505.6,3.98,3.1,3.2147
02/01/1985,Exports,Sprague,MidWest,1382.9,48817.70018,255794,189057.61,4.91,3.83,3.97171
02/01/1985,Exports,Total,Total,2668932.8,94215895.03,410022250,303047867.9,4.04,3.15,3.26655
02/01/1985,Imports,Coutts,MidWest,796.3,28110.15595,0,0,0,0,0
02/01/1985,Imports,Total,Total,796.3,28110.15595,118877,87862.11,3.98,3.1,3.2147
03/01/1985,Exports,Aden,MidWest,16750.7,591315.8222,2479377,1792203.5,4.07,3.1,3.2147
03/01/1985,Exports,Cardston,MidWest,0.4,14.12038475,0,0,0,0,0
03/01/1985,Exports,Cornwall,East,25489.5,899803.8679,4860261,3513211.91,5.07,3.87,4.01319
03/01/1985,Exports,Emerson,MidWest,603414.4,21301108.73,102170630,73853456.38,4.51,3.44,3.56728
03/01/1985,Exports,Fort Frances,East,8413.3,296997.5826,1167274,843757.34,3.69,2.82,2.92434
03/01/1985,Exports,Huntingdon,West,235865.5,8326279.024,0,0,0,0,0
03/01/1985,Exports,Kingsgate,West,1086605.9,38358233.46,171740406.1,124141571.7,4.15,3.16,3.27692
03/01/1985,Exports,Monchy,MidWest,391869.9,13833384.4,62111373.08,44896851.3,4.22,3.21,3.32877
03/01/1985,Exports,Niagara Falls,East,71663.5,2529790.482,0,0,0,0,0
03/01/1985,Exports,Ojibway (Windsor),MidWest,1478.6,52196.00224,317609,229581.85,5.67,4.33,4.49021
03/01/1985,Exports,Philipsburg,East,16962.7,598799.6261,3306677,2390212.58,5.19,3.96,4.10652
03/01/1985,Exports,Reagan Field,MidWest,294.2,10385.54299,55355,40013.05,4.07,3.1,3.2147
03/01/1985,Exports,Sprague,MidWest,963,33994.82629,158632,114666.24,4.38,3.34,3.46358
03/01/1985,Exports,Total,Total,2459771.6,86832303.49,400459372,289469769.9,4.29,3.27,3.39099
03/01/1985,Imports,Coutts,MidWest,588.4,20771.08597,0,0,0,0,0
03/01/1985,Imports,Total,Total,588.4,20771.08597,89106.11,64409.84,4.04,3.08,3.19396
04/01/1985,Exports,Aden,MidWest,22678.5,800572.864,3326371,2437080.37,4.01,3.1,3.2147
04/01/1985,Exports,Cardston,MidWest,0.4,14.12038475,0,0,0,0,0
04/01/1985,Exports,Cornwall,East,19753.2,697306.9602,3702902,2712947.47,4.99,3.86,4.00282
04/01/1985,Exports,Emerson,MidWest,615696.9,21734692.8,98789391,72378482.67,4.27,3.3,3.4221
04/01/1985,Exports,Fort Frances,East,7942.1,280363.7694,1175474,861216.21,3.94,3.05,3.16285
04/01/1985,Exports,Huntingdon,West,130515.3,4607315.63,0,0,0,0,0
04/01/1985,Exports,Kingsgate,West,883443.6,31186408.85,136808769.6,100233547.9,4.09,3.16,3.27692
04/01/1985,Exports,Monchy,MidWest,291240.3,10281062.73,0,0,0,0,0
04/01/1985,Exports,Niagara Falls,East,76338.3,2694815.418,0,0,0,0,0
04/01/1985,Exports,Ojibway (Windsor),MidWest,1064,37560.22344,225853,165472.2,5.6,4.33,4.49021
04/01/1985,Exports,Philipsburg,East,12028.9,424631.7404,2312057,1693938.75,5.12,3.96,4.10652
04/01/1985,Exports,Reagan Field,MidWest,248.1,8758.168643,46055,33742.4,4.01,3.1,3.2147
04/01/1985,Exports,Sprague,MidWest,560.8,19796.77942,91094,66740.42,4.33,3.34,3.46358
04/01/1985,Exports,Total,Total,2061510.4,72773300.05,329390599,241329473.9,4.23,3.27,3.39099
04/01/1985,Imports,Coutts,MidWest,322.4,11381.03011,0,0,0,0,0
04/01/1985,Imports,Total,Total,322.4,11381.03011,48428.39,35481.27,4.01,3.1,3.2147
05/01/1985,Exports,Aden,MidWest,11761.9,415206.3835,1743937,1267701.78,4.05,3.11,3.22507
05/01/1985,Exports,Cardston,MidWest,0.4,14.12038475,0,0,0,0,0
05/01/1985,Exports,Cornwall,East,15263.1,538802.1113,2913346,2117767.96,5.08,3.9,4.0443
05/01/1985,Exports,Emerson,MidWest,575792.9,20326043.21,91418307,66453748.32,4.23,3.24,3.35988
05/01/1985,Exports,Fort Frances,East,5973.2,210859.7055,958629,696846.1,4.27,3.28,3.40136
05/01/1985,Exports,Huntingdon,West,97191.8,3430964.027,0,0,0,0,0
05/01/1985,Exports,Kingsgate,West,873229.7,30825848.35,136181569.7,98993036,4.12,3.16,3.27692
05/01/1985,Exports,Monchy,MidWest,332077.7,11722662.23,0,0,0,0,0
05/01/1985,Exports,Niagara Falls,East,96721.1,3414347.864,0,0,0,0,0
05/01/1985,Exports,Ojibway (Windsor),MidWest,2427.7,85700.14516,516342,375339.06,5.64,4.33,4.49021
05/01/1985,Exports,Philipsburg,East,8571.1,302568.0744,1678520,1220148.89,5.21,4,4.148
05/01/1985,Exports,Reagan Field,MidWest,303,10696.19145,56691,41209.79,4.04,3.1,3.2147
05/01/1985,Exports,Sprague,MidWest,313.9,11080.97193,51403,37365.84,4.36,3.34,3.46358
05/01/1985,Exports,Total,Total,2019627.5,71294793.39,319048155.6,231922319.8,4.19,3.21,3.32877
05/01/1985,Imports,Coutts,MidWest,36.3,1281.424916,0,0,0,0,0
05/01/1985,Imports,Total,Total,36.3,1281.424916,5443.36,3956.88,4,3.07,3.18359
06/01/1985,Exports,Aden,MidWest,10399.3,367105.2929,1518385,1110490.67,4.02,3.1,3.2147
06/01/1985,Exports,Cardston,MidWest,0.4,14.12038475,0,0,0,0,0
06/01/1985,Exports,Cornwall,East,12761.3,450486.1648,2394612,1751330.72,5,3.86,4.00282
06/01/1985,Exports,Emerson,MidWest,456925.2,16129899.07,74793450,54701165.06,4.36,3.37,3.49469
06/01/1985,Exports,Fort Frances,East,5847.5,206422.3746,938158,686134.09,4.27,3.3,3.4221
06/01/1985,Exports,Huntingdon,West,98622.7,3481476.173,0,0,0,0,0
06/01/1985,Exports,Kingsgate,West,835308.3,29487186.46,128514628.1,93990849.24,4.06,3.13,3.24581
06/01/1985,Exports,Monchy,MidWest,235963.9,8329752.639,0,0,0,0,0
06/01/1985,Exports,Niagara Falls,East,98063.8,3461746.466,0,0,0,0,0
06/01/1985,Exports,Ojibway (Windsor),MidWest,1857.1,65557.41631,392553,287098.76,5.61,4.33,4.49021
06/01/1985,Exports,Philipsburg,East,6512.9,229911.6346,1266760,926461.45,5.18,4,4.148
06/01/1985,Exports,Reagan Field,MidWest,348,12284.73473,64712,47327.97,4.02,3.1,3.2147
06/01/1985,Exports,Sprague,MidWest,274.2,9679.523748,44590,32611.48,4.33,3.34,3.46358
06/01/1985,Exports,Total,Total,1762884.6,62231522.06,284275876.2,207908869.4,4.26,3.28,3.40136
06/01/1985,Imports,Coutts,MidWest,108.5,3830.154364,0,0,0,0,0
06/01/1985,Imports,Total,Total,108.5,3830.154364,16044.4,11734.28,3.94,3.04,3.15248
07/01/1985,Exports,Aden,MidWest,10590.7,373861.897,1534558,1134658.08,3.98,3.1,3.2147
07/01/1985,Exports,Cardston,MidWest,0.4,14.12038475,0,0,0,0,0
07/01/1985,Exports,Cornwall,East,11415,402960.4799,2143930,1585230.07,4.99,3.89,4.03393
07/01/1985,Exports,Emerson,MidWest,357536.2,12621371.77,61072085,45156934.07,4.54,3.54,3.67098
