Date,NS,NB,Ontario,Sask,Alberta,BC,Territories,Total (mmcf/d)
01/01/2000,3458,609,13670,1921,63,16354
01/02/2000,13456,608,13811,1942,63,16614
01/03/2000,27156,608,13762,2010,47,16753
01/04/2000,31756,601,13822,2135,66,16996
01/05/2000,32855,584,13443,2144,136,16690
01/06/2000,36657,600,13205,2083,135,16446
01/07/2000,39756,593,13632,1843,65,16585
01/08/2000,42656,595,13607,2085,126,16896
01/09/2000,41756,600,13374,2008,125,16580
01/10/2000,43256,601,13553,2102,115,16860
01/11/2000,44471,625,13620,2126,135,17021
01/12/2000,42240,615,13504,2069,142,16791
01/01/2001,41641,624,13930,2111,139,17260
01/02/2001,47132,610,13859,2113,147,17231
01/03/2001,47634,610,13871,2086,140,17218
01/04/2001,43729,606,14003,2294,144,17514
01/05/2001,48531,609,14018,2382,145,17671
01/06/2001,47632,607,13975,2356,113,17559
01/07/2001,47934,597,13670,2549,150,17481
01/08/2001,52238,596,13618,2598,153,17525
01/09/2001,51931,615,13513,2490,152,17318
01/10/2001,53835,624,13583,2530,158,17468
01/11/2001,51738,627,13757,2543,160,17642
01/12/2001,56537,631,13744,2636,137,17751
01/01/2002,50837,628,13485,2518,143,17320
01/02/2002,51736,616,13602,2641,147,17559
01/03/2002,53135,608,13534,2796,122,17627
01/04/2002,51236,608,13766,2874,132,17927
01/05/2002,46736,587,13162,2844,126,17223
01/06/2002,50135,593,13223,2787,123,17262
01/07/2002,51134,585,13238,2701,127,17196
01/08/2002,52137,590,13302,2432,114,16996
01/09/2002,52033,597,13199,2501,89,16939
01/10/2002,45035,612,13371,2616,116,17199
01/11/2002,51136,638,13443,2549,104,17280
01/12/2002,50138,657,13520,2505,104,17325
01/01/2003,45230,677,13058,2394,97,16708
01/02/2003,40929,681,13192,2384,95,16790
01/03/2003,43929,666,13182,2435,91,16842
01/04/2003,4551,29,677,13255,2561,93,17070
01/05/2003,467,2,29,650,12852,2502,105,16607
01/06/2003,444,2,27,648,12797,2458,93,16468
01/07/2003,442,1,28,655,13062,2270,68,16526
01/08/2003,405,1,27,664,13024,2457,99,16676
01/09/2003,399,2,29,692,12862,2450,104,16537
01/10/2003,408,2,28,693,13051,2457,100,16740
01/11/2003,415,2,29,686,13105,2445,97,16778
01/12/2003,453,2,29,716,13205,2442,95,16942
01/01/2004,452,2,28,691,12916,2444,95,16628
01/02/2004,445,2,26,703,13126,2544,83,16930
01/03/2004,444,2,27,731,13320,2568,74,17166
01/04/2004,430,2,27,728,13427,2718,80,17412
01/05/2004,400,2,26,711,13308,2713,78,17238
01/06/2004,403,2,26,705,13146,2472,80,16835
01/07/2004,374,2,27,702,13118,2501,76,16799
01/08/2004,380,1,27,706,13244,2380,73,16812
01/09/2004,397,2,23,709,13032,2420,73,16655
01/10/2004,376,2,27,719,13192,2468,63,16846
01/11/2004,367,2,27,733,13303,2556,76,17064
01/12/2004,367,2,26,727,13257,2473,67,16919
01/01/2005,352,2,25,702,13002,2494,54,16632
01/02/2005,377,2,25,723,13238,2541,47,16954
01/03/2005,378,2,24,732,13391,2575,53,17154
01/04/2005,380,2,25,718,13478,2756,57,17416
01/05/2005,352,2,24,669,13125,2673,66,16911
01/06/2005,386,2,22,691,12908,2530,65,16602
01/07/2005,394,1,24,689,13248,2576,63,16994
01/08/2005,424,1,24,688,13216,2685,63,17102
01/09/2005,413,2,26,683,13088,2625,57,16895
01/10/2005,406,2,26,695,13221,2654,51,17056
01/11/2005,406,2,26,718,13353,2693,49,17246
01/12/2005,382,2,25,728,13431,2682,48,17298
01/01/2006,378,2,27,742,13417,2603,43,17213
01/02/2006,367,2,26,734,13407,2604,38,17178
01/03/2006,334,2,26,741,13602,2606,39,17350
01/04/2006,316,2,26,731,13707,2767,37,17588
01/05/2006,305,2,27,721,13456,2768,36,17315
01/06/2006,320,2,24,702,12971,2665,37,16721
01/07/2006,411,1,23,696,13303,2350,27,16811
01/08/2006,406,0,24,699,13483,2668,37,17317
01/09/2006,312,2,24,683,13097,2679,36,16834
01/10/2006,370,2,24,688,13411,2566,35,17096
01/11/2006,347,2,25,694,13176,2464,35,16743
01/12/2006,317,2,24,697,13525,2479,36,17080
01/01/2007,305,2,23,681,13439,2574,32,17056
01/02/2007,359,2,21,666,13396,2619,35,17097
01/03/2007,362,2,21,685,13502,2604,35,17210
01/04/2007,423,2,17,670,13525,2747,35,17419
01/05/2007,458,2,21,663,13313,2543,34,17033
01/06/2007,408,3,21,654,12908,2473,32,16499
01/07/2007,395,28,21,651,12854,2624,32,16605
01/08/2007,442,28,21,650,13043,2659,30,16874
01/09/2007,456,29,21,650,12752,2684,30,16623
01/10/2007,345,28,21,647,12901,2654,30,16626
01/11/2007,412,31,20,650,12753,2631,29,16526
01/12/2007,400,30,20,633,12735,2564,25,16407
01/01/2008,440,27,19,628,12498,2555,23,16190
01/02/2008,431,28,19,615,12343,2557,23,16015
01/03/2008,462,29,19,637,12686,2663,24,16519
01/04/2008,431,28,19,629,12835,2760,23,16726
01/05/2008,444,26,20,621,12508,2772,23,16412
01/06/2008,376,25,19,609,12213,2442,23,15707
01/07/2008,419,25,19,611,12466,2733,23,16296
01/08/2008,312,25,19,616,12348,2749,23,16092
01/09/2008,415,25,19,611,12237,2772,22,16102
01/10/2008,425,24,19,607,12215,2730,22,16043
01/11/2008,410,30,19,616,12208,2719,21,16024
01/12/2008,401,27,17,584,11772,2653,20,15473
01/01/2009,380,26,18,579,11796,2666,17,15482
01/02/2009,400,26,17,599,12068,2739,23,15872
01/03/2009,374,24,18,592,11943,2761,22,15733
01/04/2009,308,23,18,588,12296,2846,22,16101
01/05/2009,367,22,18,580,11732,2753,22,15496
01/06/2009,318,21,18,571,11684,2568,18,15198
01/07/2009,351,21,18,569,11562,2711,16,15249
01/08/2009,81,21,18,574,11367,2676,24,14760
01/09/2009,335,19,18,558,10725,2493,24,14171
01/10/2009,332,28,17,545,10803,2526,22,14273
01/11/2009,333,24,17,536,11075,2678,22,14685
01/12/2009,324,23,17,521,10709,2584,21,14199
01/01/2010,317,21,17,526,10917,2713,22,14533
01/02/2010,312,18,17,519,11078,2794,22,14759
01/03/2010,320,20,17,523,11231,2778,21,14910
01/04/2010,306,19,17,513,11322,2895,22,15093
01/05/2010,250,18,17,500,11148,2871,21,14825
01/06/2010,305,18,17,500,10722,2718,19,14299
01/07/2010,304,17,16,497,10913,2705,13,14465
01/08/2010,299,16,17,506,10916,2982,18,14754
01/09/2010,299,12,16,501,10535,2991,19,14373
01/10/2010,281,15,16,501,10584,2961,20,14378
01/11/2010,275,20,17,466,10356,3027,20,14182
01/12/2010,277,19,16,485,10454,3167,21,14439
01/01/2011,260,18,15,468,10332,3200,20,14314
01/02/2011,284,17,15,463,10409,3215,20,14424
01/03/2011,283,17,14,467,10354,3323,18,14477
01/04/2011,277,17,15,459,10711,3515,21,15014
01/05/2011,274,15,15,454,10308,3537,17,14619
01/06/2011,171,17,16,448,10352,3160,14,14179
01/07/2011,260,15,16,450,10423,3456,14,14633
01/08/2011,264,15,15,457,10261,3515,14,14540
01/09/2011,252,15,16,459,10297,3473,16,14528
01/10/2011,234,15,16,464,10145,3622,20,14517
01/11/2011,233,14,15,461,10420,3584,21,14747
01/12/2011,249,14,15,463,10566,3677,21,15005
01/01/2012,246,14,14,454,10241,3583,20,14573
01/02/2012,227,14,14,457,10176,3650,20,14559
01/03/2012,245,13,14,447,10187,3524,19,14449
01/04/2012,180,12,14,433,10102,3364,16,14121
01/05/2012,211,12,14,418,9905,3331,20,13911
01/06/2012,214,12,14,417,9625,3290,19,13590
01/07/2012,229,11,13,420,9552,3275,15,13517
01/08/2012,219,11,15,417,9495,3394,17,13568
01/09/2012,119,9,14,422,9438,3449,16,13468
01/10/2012,140,11,14,424,9615,3480,14,13698
01/11/2012,132,13,14,417,9746,3417,14,13753
01/12/2012,137,12,13,409,9568,3609,14,13763
01/01/2013,127,11,12,402,9759,3667,13,13992
01/02/2013,126,11,13,403,9851,3684,10,14098
01/03/2013,128,12,12,398,9748,3655,12,13965
01/04/2013,96,11,12,400,9889,3760,12,14181
01/05/2013,86,11,12,394,9781,3584,13,13881
01/06/2013,132,11,12,408,9609,3407,12,13593
01/07/2013,132,11,12,411,9668,3750,12,13995
01/08/2013,176,11,13,433,9698,3812,13,14155
01/09/2013,243,10,13,437,9502,3809,12,14025
01/10/2013,310,11,12,436,9678,3904,12,14364
01/11/2013,187,10,12,432,9652,3947,12,14252
01/12/2013,314,10,12,413,9642,3905,11,14308
01/01/2014,410,10,11,430,9820,3909,11,14602
01/02/2014,422,10,9,417,9734,3894,10,14498
01/03/2014,354,10,7,427,9930,3898,13,14639
01/04/2014,365,10,7,446,10151,4016,11,15005
01/05/2014,346,9,11,446,9845,3953,12,14621
01/06/2014,436,10,11,423,9568,3691,11,14150
01/07/2014,390,8,10,441,10002,3848,11,14711
01/08/2014,281,9,12,436,10107,4024,11,14879
01/09/2014,174,9,12,443,9737,3948,10,14333
01/10/2014,161,9,12,443,10373,4165,9,15172
01/11/2014,224,8,12,433,10300,4203,10,15189
01/12/2014,301,9,12,432,10542,4322,12,15629
01/01/2015,351,9,11,430,10432,4269,11,15514
01/02/2015,295,9,11,440,10547,4302,9,15612
01/03/2015,323,9,11,445,10552,4259,9,15607
01/04/2015,212,9,11,441,10613,4380,9,15675
01/05/2015,151,2,11,427,10184,4306,9,15090
01/06/2015,146,2,11,432,10169,3662,8,14432
01/07/2015,98,2,11,430,10155,4012,3,14711
01/08/2015,147,2,11,429,10003,4135,8,14734
01/09/2015,102,2,12,417,10073,3912,8,14527
01/10/2015,115,3,10,434,10319,4212,8,15101
01/11/2015,177,9,10,437,10372,4373,7,15387
01/12/2015,206,7,10,425,10574,4491,8,15721
01/01/2016,205,13,7,418,10542,4644,8,15837
01/02/2016,218,11,7,428,10800,4715,7,16186
01/03/2016,187,7,7,426,10676,4677,7,15988
01/04/2016,136,10,7,421,10463,4516,9,15561
01/05/2016,131,9,7,415,10025,4479,8,15074
01/06/2016,153,9,7,405,9903,4293,9,14778
01/07/2016,188,9,7,396,10017,4251,8,14877
01/08/2016,197,8,7,403,10186,4362,8,15172
01/09/2016,122,3,7,399,10133,4107,8,14779
01/10/2016,141,2,7,407,9955,4358,7,14877
01/11/2016,166,3,7,413,10179,4418,7,15193
01/12/2016,202,8,7,392,10171,4635,7,15421
01/01/2017,192,10,7,390,10348,4756,3,15706
01/02/2017,167,9,8,405,10340,4639,3,15569
01/03/2017,165,9,7,405,10570,4557,0,15714
01/04/2017,137,0,7,416,10594,4437,1,15593
01/05/2017,129,0,7,390,10297,4422,1,15247
01/06/2017,126,0,7,391,10404,3774,0,14703
01/07/2017,110,0,7,397,10552,4078,0,15144
01/08/2017,61,0,7,401,10222,4244,0,14935
01/09/2017,100,0,9,400,10445,4369,1,15323
01/10/2017,107,0,9,412,10416,4560,0,15506
01/11/2017,97,0,9,412,10847,4994,1,16360
01/12/2017,96,10,9,396,10872,5154,1,16537
01/01/2018,80,14,9,392,10813,5213,0.5,16521
01/02/2018,84,13,9,375,10760,5199,0.1,16440
01/03/2018,81,12,7,388,10829,5250,0.0,16567
01/04/2018,82,10,9,399,10675,5297,0.3,16472
01/05/2018,81,1,9,407,10256,5054,0.3,15806
01/06/2018,62,0,9,389,10170,5032,0.3,15662
01/07/2018,71,0,9,398,10324,5318,0.2,16119
01/08/2018,69,0,9,402,10490,5158,0.1,16128
01/09/2018,59,0,9,394,10337,5175,0.2,15975
01/10/2018,61,0,9,407,10409,4702,1.4,15589
01/11/2018,60,4,9,404,10581,4875,6,15938
01/12/2018,55,12,8,398,10809,5422,7,16710
01/01/2019,0,13,9,393,10542,5062,6,16025
01/02/2019,0,12,8,366,10066,5271,6,15729
01/03/2019,0,10,8,381,10508,5334,8,16249
01/04/2019,0,9,8,403,10449,5205,7,16082
01/05/2019,0,0,8,399,10176,4811,8,15402
01/06/2019,0,0,8,399,9828,5017,7,15261
01/07/2019,0,0,8,395,9941,5044,7,15396
01/08/2019,0,0,8,394,9904,4977,7,15289
01/09/2019,0,0,8,384,9698,5022,7,15120
01/10/2019,0,0,8,392,10016,5099,7,15523
