Date,"Dry natural gas production, Africa, Annual","Dry natural gas production, Asia & Oceania, Annual","Dry natural gas production, Central & South America, Annual","Dry natural gas production, Eurasia, Annual","Dry natural gas production, Europe, Annual","Dry natural gas production, Middle East, Annual","Dry natural gas production, North America, Annual","Dry natural gas exports, Africa, Annual","Dry natural gas exports, Asia & Oceania, Annual","Dry natural gas exports, Central & South America, Annual","Dry natural gas exports, Eurasia, Annual","Dry natural gas exports, Europe, Annual","Dry natural gas exports, Middle East, Annual","Dry natural gas exports, North America, Annual","Natural gas reserves, Africa, Annual","Natural gas reserves, Asia & Oceania, Annual","Natural gas reserves, Central & South America, Annual","Natural gas reserves, Eurasia, Annual","Natural gas reserves, Europe, Annual","Natural gas reserves, Middle East, Annual","Natural gas reserves, North America, Annual"
1980,687,2463,1227,15370,9145,1407,23062,0,0,0,0,0,0,0,211,155,86,900,148,740,345
1981,1037,2629,1362,16430,9011,1451,22820,0,0,0,0,0,0,0,215,153,85,920,173,752,351
1982,1240,2692,1432,17680,8559,1373,21588,0,0,0,0,0,0,0,213,154,101,1160,164,762,367
1983,1685,2988,1487,18927,8861,1516,19682,0,0,0,0,0,0,0,191,178,111,1240,169,769,374
1984,1802,3518,1704,20744,8995,2004,21262,0,0,0,0,0,0,0,194,189,111,1400,168,774,366
1985,1857,3917,1755,22707,9188,2386,20494,0,0,0,0,0,0,0,192,199,108,1450,217,869,367
1986,1877,4222,1778,24195,9065,2644,19807,0,0,0,0,0,0,0,203,204,112,1500,238,856,370
1987,2104,4474,1739,25358,9254,3031,20622,0,0,0,0,0,0,0,210,231,114,1550,243,925,368
1988,2242,4822,1866,27192,8834,3302,21582,0,0,0,0,0,0,0,255,258,150,1450,229,1085,362
1989,2393,5015,2130,28111,8914,3703,21904,0,0,0,0,0,0,0,257,276,161,1500,207,1182,338
1990,2459,5375,2014,28782,8590,3598,22562,1128,1693,87,3935,2292,241,1523,272,287,161,1500,200,1226,335
1991,2686,5686,2152,28623,9059,3774,22654,1229,1816,78,3748,2438,232,1813,290,302,170,1600,190,1324,340
1992,2815,6024,2138,27465,9038,4162,23239,1315,1969,78,9532,2580,121,2261,311,299,167,1750,195,1319,335
1993,2805,6427,2301,26858,9454,4431,23929,1303,2061,73,9235,2594,157,2367,348,341,189,1942,212,1520,332
1994,2722,7039,2441,25414,9496,4690,25039,1169,2245,70,8197,2578,154,2690,344,355,197,1997,211,1581,328
