Date,Type,Million Standard Cubic Metres,Terajoules,1000 Metric Tons
01/01/2009,Production,54012,2064987,0
01/01/2009,Receipts from Other Sources,0,0,0
01/01/2009,Imports,747,28570,0
01/01/2009,LNG,0,0,0
01/01/2009,Pipeline,747,28570,0
01/01/2009,Exports,6845,261711,0
01/01/2009,LNG,0,0,0
01/01/2009,Pipeline,6845,261711,0
01/01/2009,Stock Change,0,0,0
01/01/2009,Gross Inland Deliveries (Calculated),0,0,0
01/01/2009,Statistical Difference (Calculated),0,0,0
01/01/2009,Gross Inland Deliveries (Observed),0,0,0
01/01/2009,of which: Electricity and Heat Generation,0,0,0
01/01/2009,Closing Stocks,0,0,0
01/02/2009,Production,48814,1866264,0
01/02/2009,Receipts from Other Sources,0,0,0
01/02/2009,Imports,674,25783,0
01/02/2009,LNG,0,0,0
01/02/2009,Pipeline,674,25783,0
01/02/2009,Exports,10304,393959,0
01/02/2009,LNG,0,0,0
01/02/2009,Pipeline,10304,393957,0
01/02/2009,Stock Change,0,0,0
01/02/2009,Gross Inland Deliveries (Calculated),0,0,0
01/02/2009,Statistical Difference (Calculated),0,0,0
01/02/2009,Gross Inland Deliveries (Observed),0,0,0
01/02/2009,of which: Electricity and Heat Generation,0,0,0
01/02/2009,Closing Stocks,0,0,0
01/03/2009,Production,48166,1841486,0
01/03/2009,Receipts from Other Sources,0,0,0
01/03/2009,Imports,746,28551,0
01/03/2009,LNG,0,0,0
01/03/2009,Pipeline,746,28551,0
01/03/2009,Exports,7824,299147,0
01/03/2009,LNG,0,0,0
01/03/2009,Pipeline,7824,299146,0
01/03/2009,Stock Change,0,0,0
01/03/2009,Gross Inland Deliveries (Calculated),0,0,0
01/03/2009,Statistical Difference (Calculated),0,0,0
01/03/2009,Gross Inland Deliveries (Observed),0,0,0
01/03/2009,of which: Electricity and Heat Generation,0,0,0
01/03/2009,Closing Stocks,0,0,0
01/04/2009,Production,43368,1658078,0
01/04/2009,Receipts from Other Sources,0,0,0
01/04/2009,Imports,688,26338,0
01/04/2009,LNG,0,0,0
01/04/2009,Pipeline,688,26338,0
01/04/2009,Exports,10507,401706,0
01/04/2009,LNG,0,0,68
01/04/2009,Pipeline,10414,398170,0
01/04/2009,Stock Change,0,0,0
01/04/2009,Gross Inland Deliveries (Calculated),0,0,0
01/04/2009,Statistical Difference (Calculated),0,0,0
01/04/2009,Gross Inland Deliveries (Observed),0,0,0
01/04/2009,of which: Electricity and Heat Generation,0,0,0
01/04/2009,Closing Stocks,0,0,0
01/05/2009,Production,39628,1515086,0
01/05/2009,Receipts from Other Sources,0,0,0
01/05/2009,Imports,752,28773,0
01/05/2009,LNG,0,0,0
01/05/2009,Pipeline,752,28773,0
01/05/2009,Exports,13944,533126,0
01/05/2009,LNG,0,0,130
01/05/2009,Pipeline,13766,526336,0
01/05/2009,Stock Change,0,0,0
01/05/2009,Gross Inland Deliveries (Calculated),0,0,0
01/05/2009,Statistical Difference (Calculated),0,0,0
01/05/2009,Gross Inland Deliveries (Observed),0,0,0
01/05/2009,of which: Electricity and Heat Generation,0,0,0
01/05/2009,Closing Stocks,0,0,0
01/06/2009,Production,36106,1380415,0
01/06/2009,Receipts from Other Sources,0,0,0
01/06/2009,Imports,623,23849,0
01/06/2009,LNG,0,0,0
01/06/2009,Pipeline,623,23849,0
01/06/2009,Exports,13465,514812,0
01/06/2009,LNG,0,0,267
01/06/2009,Pipeline,13101,500904,0
01/06/2009,Stock Change,0,0,0
01/06/2009,Gross Inland Deliveries (Calculated),0,0,0
01/06/2009,Statistical Difference (Calculated),0,0,0
01/06/2009,Gross Inland Deliveries (Observed),0,0,0
01/06/2009,of which: Electricity and Heat Generation,0,0,0
01/06/2009,Closing Stocks,0,0,0
01/07/2009,Production,40948,1565555,0
01/07/2009,Receipts from Other Sources,0,0,0
01/07/2009,Imports,681,26062,0
01/07/2009,LNG,0,0,0
01/07/2009,Pipeline,681,26062,0
01/07/2009,Exports,16540,632378,0
01/07/2009,LNG,0,0,468
01/07/2009,Pipeline,15903,608034,0
01/07/2009,Stock Change,0,0,0
01/07/2009,Gross Inland Deliveries (Calculated),0,0,0
01/07/2009,Statistical Difference (Calculated),0,0,0
01/07/2009,Gross Inland Deliveries (Observed),0,0,0
01/07/2009,of which: Electricity and Heat Generation,0,0,0
01/07/2009,Closing Stocks,0,0,0
01/08/2009,Production,42850,1638265,0
01/08/2009,Receipts from Other Sources,0,0,0
01/08/2009,Imports,701,26835,0
01/08/2009,LNG,0,0,0
01/08/2009,Pipeline,701,26835,0
01/08/2009,Exports,15844,605781,0
01/08/2009,LNG,0,0,128
01/08/2009,Pipeline,15670,599126,0
01/08/2009,Stock Change,0,0,0
01/08/2009,Gross Inland Deliveries (Calculated),0,0,0
01/08/2009,Statistical Difference (Calculated),0,0,0
